CountryName,E3_Fiscal measures,E4_International support,H4_Emergency investment in healthcare,H5_Investment in vaccines,ConfirmedCases,ConfirmedDeaths,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,total_tests,total_tests_per_thousand,tests_per_case,population,population_density,median_age,aged_70_older,gdp_per_capita,extreme_poverty,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
Dominica,8000000.0,0.0,0.0,0.0,20.0,0.0,39.867942386831295,42.77341563786006,42.48917695473251,44.380534979423764,32.098765432098766,0.0,0.0,0.0,71991.0,98.56700000000001,0.0,0.0,9673.367,0.0,0.0,3.8,75.0
Dominican Republic,580000000.0,0.0,256881995.41,0.0,94241.0,1681.0,57.81420408163281,62.70571428571437,48.6862448979591,54.58885714285706,16.224489795918366,0.0,0.0,0.0,10847904.0,222.873,27.6,4.419,14600.861,1.6,55.181999999999995,1.6,74.08
Ecuador,234000000.0,0.0,464000000.0,0.0,113648.0,6555.0,60.13857142857121,63.444367346939,56.940612244897714,58.091836734693906,50.61224489795919,256212.0,14.522,0.0,17643060.0,66.939,28.1,4.458,10581.936000000002,3.6,80.635,1.5,77.01
Egypt,6367000000.0,0.0,507000000.0,0.0,98727.0,5399.0,48.68917355371912,58.02946280991744,49.69057851239685,50.965702479338844,42.66528925619835,0.0,0.0,0.0,102334403.0,97.999,25.3,2.891,10550.206,1.3,89.82700000000001,1.6,71.99
El Salvador,1000000000.0,0.0,100000000.0,0.0,25729.0,717.0,67.83616326530591,72.01277551020418,60.64971428571435,63.49338775510217,45.0,310444.0,47.861999999999995,106.803,6486201.0,307.811,27.6,5.417000000000001,7292.4580000000005,2.2,90.65,1.3,73.32
Eritrea,484000.0,0.0,0.0,0.0,318.0,0.0,62.0681224489798,64.38375510204095,49.66751020408164,55.82183673469395,15.816326530612244,0.0,0.0,0.0,3546427.0,44.303999999999995,19.3,2.171,1510.4589999999998,0.0,0.0,0.7,66.32
Estonia,2160000000.0,220000.0,325949.0,0.0,2373.0,64.0,31.07612244897958,34.75265306122445,29.59995918367346,29.397061224489818,30.714285714285715,147901.0,111.494,822.5,1326539.0,31.033,42.7,13.491,29481.252,0.5,0.0,4.69,78.74
Ethiopia,1400000000.0,0.0,154000000.0,0.0,51122.0,793.0,52.670530612245074,55.89216326530609,45.01493877551022,49.41008163265291,20.816326530612244,869430.0,7.563,808.182,114963583.0,104.95700000000001,19.8,2.063,1729.9270000000001,26.7,7.96,0.3,66.6
Falkland Islands,0.0,0.0,0.0,0.0,13.0,0.0,31.91536842105261,32.83913043478268,57.323749999999954,55.310087719298345,,0.0,0.0,0.0,3483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.44
Fiji,400000000.0,0.0,40000000.0,0.0,28.0,2.0,52.059387755102115,57.54334693877558,53.9115102040817,54.828367346938826,48.87755102040816,7979.0,8.901,378.0,896444.0,49.562,28.6,3.284,8702.975,1.4,0.0,2.3,67.44
