CountryName,E3_Fiscal measures,E4_International support,H4_Emergency investment in healthcare,H5_Investment in vaccines,ConfirmedCases,ConfirmedDeaths,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,total_tests,total_tests_per_thousand,tests_per_case,population,population_density,median_age,aged_70_older,gdp_per_capita,extreme_poverty,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,FemaleLeader,DaysWithoutCase,DaysWithoutTest,DaysWithoutGovResponse
Afghanistan,400000000.0,39400000.0,140400000.0,0.0,38162.0,1402.0,53.72963265306137,55.480040816326564,42.75514285714275,50.52971428571429,0.0,0.0,0.0,0.0,38928341.0,54.422,18.6,1.337,1803.987,0.0,37.746,0.5,64.83,0,55,53,53
Albania,382052000.0,0.0,25000000.0,0.0,9380.0,280.0,52.43991836734706,56.72612244897958,49.33579591836726,50.643959183673495,42.142857142857146,0.0,0.0,0.0,2877800.0,104.871,38.0,8.642999999999999,11803.431,1.1,0.0,2.89,78.57,0,68,67,44
Algeria,545000000.0,0.0,226000000.0,0.0,44146.0,1501.0,53.372326530612185,59.155265306122324,45.00979591836733,48.14640816326526,27.755102040816325,0.0,0.0,0.0,43851043.0,17.348,29.1,3.857,13913.839,0.5,83.741,1.9,76.88,0,56,81,64
Andorra,141399000.0,473499125.0,2509518.5,0.0,1124.0,53.0,30.847673469387804,43.357142857142804,37.67232653061225,33.79718367346933,58.979591836734684,0.0,0.0,0.0,77265.0,163.755,0.0,0.0,0.0,0.0,0.0,0.0,83.73,0,62,61,61
Angola,9000000.0,0.0,120000000.0,0.0,2624.0,107.0,53.51383673469381,57.54383673469379,45.01742857142847,48.65657142857136,25.0,0.0,0.0,0.0,32866268.0,23.89,16.8,1.362,5819.495,0.0,26.664,0.0,61.15,0,81,56,36
Anguilla,0.0,0.0,0.0,0.0,3.0,0.0,35.072105263157894,40.420947368421174,52.67939655172404,55.5778448275863,22.434210526315788,0.0,0.0,0.0,15002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.88,0,86,0,0
Argentina,10000000000.0,0.0,47000000.0,0.0,401226.0,8401.0,65.76281632653044,68.18975510204089,60.68995901639351,62.74487704918035,49.385245901639344,1082679.0,23.955,18.301,45195777.0,16.177,31.9,7.441,18933.907,0.6,0.0,5.0,76.67,0,63,63,22
Aruba,0.0,0.56,0.0,0.0,1997.0,10.0,36.917020408163275,42.069591836734745,38.57702040816329,36.33142857142858,50.91836734693877,0.0,0.0,0.0,106766.0,584.8,41.2,7.452000000000001,35973.781,0.0,0.0,0.0,76.29,0,72,69,69
Australia,99179238800.0,185925761.0,1561787799.0,7473254.0,25670.0,611.0,50.36612244897955,52.56261224489789,53.126938775510226,53.67448979591851,50.102040816326536,6168229.0,241.892,4924.769,25499881.0,3.202,37.9,10.129,44648.71,0.5,0.0,3.84,83.44,0,24,24,24
Austria,41182448771.0,0.0,0.0,1085695.0,27218.0,733.0,38.72673469387756,43.35469387755114,46.461183673469286,43.955755102040946,60.255102040816325,1180711.0,131.097,250.023,9006400.0,106.749,44.4,13.748,45436.686,0.7,0.0,7.37,81.54,0,56,31,31
